"HostName","URI","Author","Date","LogonType","State","UserId","Actions","Triggers","LastRunTime","LastTaskResult","NextRunTime","NumberOfMissedRuns","Error"
"DC-SRV01","\Microsoft\Windows\EDP\EDP Auth Task",,,"Group","Enabled",,"{'ClassId':'{61BCD1B9-340C-40EC-9D41-D7F1C0632F05}','Data':'ReAuth'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\EDP\EDP Inaccessible Credentials Task",,,"Group","Enabled",,"{'ClassId':'{61BCD1B9-340C-40EC-9D41-D7F1C0632F05}','Data':'MissingCredentials'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\EDP\StorageCardEncryption Task",,,"Group","Enabled",,"{'ClassId':'{61BCD1B9-340C-40EC-9D41-D7F1C0632F05}','Data':'SDCardEncryptionPolicy'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{711001CD-CC1D-4470-9B7E-1EF73849C79E}','Data':'ExploitGuardPolicy'}","[{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\File Classification Infrastructure\Property Definition Sync","Microsoft Corporation",,"Local Service/System or Network Service","Disabled","SYSTEM","{'ClassId':'{2AE64751-B728-4D6B-97A0-B2DA2E7D2A3B}'}","{'DaysInterval':1,'Enabled':true,'Id':'FsrmDailyTrigger','RandomDelay':'PT4H','Repetition':{'StopAtDurationEnd':false},'StartBoundary':'2006-11-09T03:00:00'}","11/30/1999 12:00:00 AM","267011","11/15/2024 4:59:59 AM","0",
"DC-SRV01","\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{59EECBFE-C2F5-4419-9B99-13FE05FF2675}'}","[{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\Flighting\FeatureConfig\UsageDataFlushing","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{99EFDAD1-0F11-4A6B-A702-4E1C37D1A3EF}'}","[{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}]","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\Flighting\FeatureConfig\UsageDataReporting","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{BBFCD054-8AAC-45DE-A1EB-7B246C9028AF}'}","[]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{E07647F7-AED2-48D9-9720-939BC24A8A3C}'}","[{'Enabled':true,'RandomDelay':'PT1H','Repetition':{'Interval':'PT5H45M','StopAtDurationEnd':false},'StartBoundary':'2024-11-15T08:15:44-08:00'},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}]","11/15/2024 2:29:29 AM","0","11/15/2024 9:00:00 AM","0",
"DC-SRV01","\Microsoft\Windows\Input\LocalUserSyncDataAvailable",,,"Group","Enabled",,"{'ClassId':'{8E7C2AFB-72B9-415C-9AC2-5037693309B7}','Data':'LocalUserSyncDataAvailable'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","10/23/2024 6:46:46 AM","2147943467",,"0",
